episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
152,44669,361,403.634021,259,0.7174515235457064,102,0.28254847645429365,9,8.0,1.0,8.618386,-0.0,8.618386,1,0.45394736842105265,0,0.5460526315789473
153,44955,286,400.04886,151,0.527972027972028,135,0.47202797202797203,16,4.0,12.0,8.614708,-0.0,8.614708,1,0.45751633986928103,0,0.5424836601307189
154,45355,400,3.380615,309,0.7725,91,0.2275,18,8.0,10.0,8.614708,7.544315814971924,1.0703921,0,0.45454545454545453,1,0.5454545454545454
155,45755,400,-0.644962,289,0.7225,111,0.2775,25,24.0,1.0,8.629356,7.989197254180908,0.64015913,0,0.45161290322580644,1,0.5483870967741935
156,46155,400,2.254609,269,0.6725,131,0.3275,21,6.0,15.0,8.622052,6.517347812652588,2.1047044,0,0.44871794871794873,1,0.5512820512820513
157,46517,362,405.21905,257,0.7099447513812155,105,0.2900552486187845,31,5.0,26.0,8.614708,-0.0,8.614708,1,0.45222929936305734,0,0.5477707006369427
158,46684,167,404.150085,117,0.7005988023952096,50,0.2994011976047904,15,6.0,9.0,8.625709,-0.0,8.625709,1,0.45569620253164556,0,0.5443037974683544
159,47084,400,1.328,296,0.74,104,0.26,24,14.0,10.0,8.618386,7.9801344871521,0.6382518,0,0.4528301886792453,1,0.5471698113207547
160,47298,214,399.486126,170,0.794392523364486,44,0.205607476635514,9,13.0,-4.0,8.603626,-0.0,8.603626,1,0.45625,0,0.54375
161,47698,400,-1.075553,274,0.685,126,0.315,16,17.0,-1.0,8.614708,8.16705322265625,0.44765472,0,0.453416149068323,1,0.546583850931677
162,48098,400,0.30713,287,0.7175,113,0.2825,20,14.0,6.0,8.632996,7.8273234367370605,0.80567217,0,0.4506172839506173,1,0.5493827160493827
